folder,file,indent_depth,force,modulus,hertzfactor,contactpointindex,bestcontactpointrms,contactpointposition,indent_time,x,y,setpoint_N,setpoint_V,sensitivity,springconstant,beadradius,animal,orient,setpoint,speed,condition,stage,x_image,y_image,roi,beta_pyforce,k0_pyforce,k_pyforce,pix_per_m
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.01.36.245.mat,4.59E-06,1.00E-08,5.263080785,1.0381,4672,2.99E-18,5.27E-05,0.245,75.496942,155.58104,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,75.496942,155.58104,0,0.13641966,211.2419511,170.5419027,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.01.36.245.mat,4.59E-06,1.00E-08,7.548840736,1.0381,4672,2.99E-18,5.27E-05,0.245,144.139189,155.58104,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,144.139189,155.58104,0,0.13641966,211.2419511,170.5419027,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.01.36.245.mat,4.59E-06,1.00E-08,1.907724012,1.0381,4672,2.99E-18,5.27E-05,0.245,212.781436,155.58104,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,212.781436,155.58104,0,0.13641966,211.2419511,170.5419027,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.01.36.245.mat,4.59E-06,1.00E-08,2.620210654,1.0381,4672,2.99E-18,5.27E-05,0.245,281.423683,155.58104,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,281.423683,155.58104,0,0.13641966,211.2419511,170.5419027,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.01.36.245.mat,4.59E-06,1.00E-08,6.544749844,1.0381,4672,2.99E-18,5.27E-05,0.245,350.065931,155.58104,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,350.065931,155.58104,0,0.13641966,211.2419511,170.5419027,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.01.36.245.mat,4.59E-06,1.00E-08,2.915897309,1.0381,4672,2.99E-18,5.27E-05,0.245,418.708178,155.58104,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,418.708178,155.58104,0,0.13641966,211.2419511,170.5419027,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.01.36.245.mat,4.59E-06,1.00E-08,6.153689258,1.0381,4672,2.99E-18,5.27E-05,0.245,487.350425,155.58104,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,487.350425,155.58104,0,0.13641966,211.2419511,170.5419027,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.01.36.245.mat,4.59E-06,1.00E-08,7.98890321,1.0381,4672,2.99E-18,5.27E-05,0.245,555.992672,155.58104,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,555.992672,155.58104,0,0.13641966,211.2419511,170.5419027,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.01.36.245.mat,4.59E-06,1.00E-08,5.754478799,1.0381,4672,2.99E-18,5.27E-05,0.245,624.634919,155.58104,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,624.634919,155.58104,0,0.13641966,211.2419511,170.5419027,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.01.36.245.mat,4.59E-06,1.00E-08,2.067013044,1.0381,4672,2.99E-18,5.27E-05,0.245,693.277167,155.58104,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,693.277167,155.58104,0,0.13641966,211.2419511,170.5419027,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.01.36.245.mat,4.59E-06,1.00E-08,1.997711031,1.0381,4672,2.99E-18,5.27E-05,0.245,761.919414,155.58104,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,761.919414,155.58104,0,0.13641966,211.2419511,170.5419027,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.01.36.245.mat,4.59E-06,1.00E-08,6.407203555,1.0381,4672,2.99E-18,5.27E-05,0.245,830.561661,155.58104,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,830.561661,155.58104,0,0.13641966,211.2419511,170.5419027,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.01.36.245.mat,4.59E-06,1.00E-08,7.22626248,1.0381,4672,2.99E-18,5.27E-05,0.245,899.203908,155.58104,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,899.203908,155.58104,0,0.13641966,211.2419511,170.5419027,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.01.36.245.mat,4.59E-06,1.00E-08,1.081465339,1.0381,4672,2.99E-18,5.27E-05,0.245,967.846155,155.58104,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,967.846155,155.58104,0,0.13641966,211.2419511,170.5419027,869670.17
