folder,file,indent_depth,force,modulus,hertzfactor,contactpointindex,bestcontactpointrms,contactpointposition,indent_time,x,y,setpoint_N,setpoint_V,sensitivity,springconstant,beadradius,animal,orient,setpoint,speed,condition,stage,x_image,y_image,roi,beta_pyforce,k0_pyforce,k_pyforce,pix_per_m
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.01.36.245.mat,4.59E-06,1.00E-08,180.3324,1.0381,4672,2.99E-18,5.27E-05,0.245,-6.56E-05,0.0019148,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,653.7418937,858.8544117,0,0.13641966,211.2419511,170.5419027,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.01.50.275.mat,5.71E-06,1.00E-08,128.1692,0.73781,4231,3.88E-18,5.73E-05,0.301,-8.69E-05,0.0019017,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,653.7578578,880.8383861,0,0.214833784,135.7129589,128.4013688,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.02.04.764.mat,3.43E-06,1.00E-08,281.423,1.62,4793,3.70E-18,5.17E-05,0.187,-0.0001082,0.0018886,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,653.773822,902.8223605,0,0.234953381,272.4033595,280.2992144,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.02.36.699.mat,6.72E-06,9.97E-09,103.0667,0.59331,5494,4.07E-18,4.44E-05,0.3515,-0.0002787,0.0017839,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,653.7832011,1078.725442,0,0.123766446,124.018399,93.66701662,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.02.52.633.mat,7.35E-06,9.99E-09,88.5967,0.51001,7442,2.90E-18,2.51E-05,0.383,-0.0003,0.0017709,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,653.7258481,1100.664881,0,0.165101612,110.2089976,85.49789088,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.03.07.782.mat,4.33E-06,1.00E-08,193.8431,1.1159,6183,1.54E-18,3.76E-05,0.2325,-0.0003213,0.0017578,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,653.7418123,1122.648855,0,0.171113092,217.5566186,179.962212,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.03.22.875.mat,3.87E-06,9.98E-09,225.8175,1.2999,5791,9.81E-19,4.16E-05,0.209,-0.0003426,0.0017447,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,653.7577764,1144.63283,0,0.164993461,236.3543658,185.9170442,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.03.36.111.mat,3.21E-06,1.00E-08,303.7328,1.7485,3365,2.05E-18,6.59E-05,0.176,-0.0003512,0.0017101,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,675.254065,1166.562537,0,0.178010422,312.5440619,275.2174571,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.03.49.455.mat,3.49E-06,9.96E-09,267.7116,1.5411,3631,1.69E-18,6.33E-05,0.19,-0.0003299,0.0017231,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,675.311418,1144.623097,0,0.177350367,286.3815645,257.6320395,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.04.04.476.mat,3.10E-06,1.00E-08,319.6422,1.84,3756,7.50E-19,6.21E-05,0.1705,-0.0003086,0.0017362,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,675.2954538,1122.639123,0,0.18297015,304.7645045,255.5030663,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.04.44.557.mat,5.73E-06,9.99E-09,126.5144,0.72829,4745,7.58E-19,5.23E-05,0.302,-0.0002873,0.0017493,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,675.2794897,1100.655148,0,0.148290256,148.0741401,109.8514042,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.04.57.905.mat,4.76E-06,9.97E-09,166.9658,0.96115,1933,1.11E-18,8.05E-05,0.2535,-0.000266,0.0017624,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,675.2635256,1078.671174,0,0.154993,194.4918318,153.3293528,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.05.21.674.mat,4.65E-06,1.02E-08,176.944,1.0186,7388,4.21E-16,2.57E-05,0.2485,-0.0002447,0.0017755,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,675.2475614,1056.6872,0,0.173567742,209.3863625,168.8905366,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.05.36.610.mat,1.03E-05,9.98E-09,50.0433,0.28808,4911,8.76E-18,5.05E-05,0.529,-0.0002234,0.0017885,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,675.3049144,1034.74776,0,0.177939762,69.7687546,50.03818723,869670.17
